StoreNo,Date,Time,Millisecond,Urms-1,Irms-1,FreqU-1,FreqI-1,TIME,Uac-1,Urange,I-1,Phi-1,Imn-1,Q-1,S-1,MeasureMode,DisplayMode,IntegrateMode,UpdateRate
1,2019/04/05,10:00:23,542,233.40 ,0.000 ,49.984 ,Error    ,NAN,233.40 ,300.0 ,0.000 ,Error    ,0.000 ,0.0000E+03,0.0000E+03,1,1,1,1
2,2019/04/05,10:00:23,789,233.50 ,0.000 ,49.986 ,Error    ,NAN,233.50 ,300.0 ,0.000 ,Error    ,0.000 ,0.0000E+03,0.0000E+03,1,1,1,1
3,2019/04/05,10:00:24,039,233.47 ,0.000 ,49.984 ,Error    ,NAN,233.47 ,300.0 ,0.000 ,Error    ,0.000 ,0.0000E+03,0.0000E+03,1,1,1,1
4,2019/04/05,10:00:24,290,233.42 ,0.000 ,49.983 ,Error    ,NAN,233.42 ,300.0 ,0.000 ,Error    ,0.000 ,0.0000E+03,0.0000E+03,1,1,1,1
5,2019/04/05,10:00:24,545,233.39 ,0.000 ,49.978 ,Error    ,NAN,233.39 ,300.0 ,0.000 ,Error    ,0.000 ,0.0000E+03,0.0000E+03,1,1,1,1
6,2019/04/05,10:00:24,789,233.38 ,0.000 ,49.982 ,Error    ,NAN,233.38 ,300.0 ,0.000 ,Error    ,0.000 ,0.0000E+03,0.0000E+03,1,1,1,1
7,2019/04/05,10:00:25,039,233.41 ,0.000 ,49.980 ,Error    ,NAN,233.41 ,300.0 ,0.000 ,Error    ,0.000 ,0.0000E+03,0.0000E+03,1,1,1,1
8,2019/04/05,10:00:25,289,233.46 ,0.000 ,49.981 ,Error    ,NAN,233.46 ,300.0 ,0.000 ,Error    ,0.000 ,0.0000E+03,0.0000E+03,1,1,1,1
9,2019/04/05,10:00:25,543,233.47 ,0.000 ,49.979 ,Error    ,NAN,233.47 ,300.0 ,0.000 ,Error    ,0.000 ,0.0000E+03,0.0000E+03,1,1,1,1
10,2019/04/05,10:00:25,790,233.42 ,0.000 ,49.978 ,Error    ,NAN,233.42 ,300.0 ,0.000 ,Error    ,0.000 ,0.0000E+03,0.0000E+03,1,1,1,1
